! --------------------------------------------------------------- !
!  ELCOM Temporal Boundary Condition file
!  Generated by ARMS
! !
! File was created from the following resources on 2015-06-24 06:07:10
! HEADER               BC     ARMS Address
! INFLOW               1     FCR Weir Inflow 1 Drain
! WTR_TEMP			   2     FCR Weir Inflow Temp 1 Drain
! SALINITY			   3     FCR Weir Inflow Salinity 1 Drain
! --------------------------------------------------------------- !
3 data sets
0 seconds between data
0         1        1            1
TIME	INFLOW	WTR_TEMP	SALINITY
2015182.2500	0.0287	20.78	0
2015182.2917	0.0288	20.72	0
2015182.3333	0.0281	20.6275	0
2015182.3750	0.0281	20.53	0
2015182.4167	0.0277	20.455	0
2015182.4583	0.0286	20.44	0
2015182.5000	0.0283	20.5475	0
2015182.5417	0.0279	20.7825	0
2015182.5833	0.0286	21.11	0
2015182.6250	0.0282	21.47	0
2015182.6667	0.0287	21.86	0
2015182.7083	0.0292	22.2025	0
2015182.7500	0.0295	22.395	0
2015182.7917	0.0281	22.6425	0
2015182.8333	0.0278	22.75	0
2015182.8750	0.0269	22.765	0
2015182.9167	0.0266	22.675	0
2015182.9583	0.0261	22.5625	0
2015183.0000	0.0262	22.3775	0
2015183.0417	0.0264	22.28	0
2015183.0833	0.0259	22.25	0
2015183.1250	0.0266	22.19	0
2015183.1667	0.0266	22.145	0
2015183.2083	0.0266	22.095	0
2015183.2500	0.0264	22.03	0
2015183.2917	0.0269	21.955	0
2015183.3333	0.0262	21.795	0
2015183.3750	0.0259	21.675	0
2015183.4167	0.0263	21.5775	0
2015183.4583	0.0263	21.56	0
2015183.5000	0.0266	21.56	0
2015183.5417	0.0267	21.63	0
2015183.5833	0.026	21.63	0
2015183.6250	0.0263	21.705	0
2015183.6667	0.0272	21.8775	0
2015183.7083	0.0271	21.97	0
2015183.7500	0.0265	22	0
2015183.7917	0.026	21.955	0
2015183.8333	0.0264	21.8625	0
2015183.8750	0.0259	21.8275	0
2015183.9167	0.0259	21.8275	0
2015183.9583	0.0267	21.81	0
2015184.0000	0.0262	21.72	0
2015184.0417	0.0258	21.5325	0
2015184.0833	0.0252	21.3125	0
